,full_name,pasport_number,card_number,train_number,from_station,to_station,wagon_seat,price,departure,arrival
0,Юрий Аверьянович Устинов,3041 858814,4552046744915919,098С,Симферополь,Москва,1-48,12437.6 руб,2025-04-29T01:25:00+03:00,2025-04-30T14:26:00+03:00
1,Волкова Дарья Михайловна,1748 458077,2243775284936989,018Й,Симферополь,Москва,2-10,11988.0 руб,2025-04-29T10:40:00+03:00,2025-04-30T23:40:00+03:00
2,Венедикт Августович Фокин,4581 407022,4542769613690888,028С,Симферополь,Москва,1-22,13320.0 руб,2025-04-29T17:10:00+03:00,2025-04-30T20:55:00+03:00
3,Олимпиада Тимуровна Романова,4459 014241,4542768149127896,068С,Симферополь,Москва,1-10,19500.0 руб,2025-04-29T19:50:00+03:00,2025-05-01T04:20:00+03:00
4,Константинов Сократ Демидович,0206 075758,5243772909819625,092С,Симферополь,Москва,1-1,23118.8 руб,2025-04-29T23:10:00+03:00,2025-05-01T08:23:00+03:00
5,Корнил Брониславович Давыдов,6238 242304,4542767075808836,098С,Симферополь,Москва,1-1,25763.6 руб,2025-04-30T01:25:00+03:00,2025-05-01T14:26:00+03:00
6,Фотий Богданович Якушев,5693 584133,4542761037791920,098С,Симферополь,Москва,1-48,12437.6 руб,2025-04-29T01:25:00+03:00,2025-04-30T14:26:00+03:00
7,Дмитриев Варлаам Феоктистович,9540 808160,2252041631585840,018Й,Симферополь,Москва,2-10,11988.0 руб,2025-04-29T10:40:00+03:00,2025-04-30T23:40:00+03:00
8,Леонтий Валерьянович Баранов,1631 127877,2242765678970340,028С,Симферополь,Москва,1-22,13320.0 руб,2025-04-29T17:10:00+03:00,2025-04-30T20:55:00+03:00
9,Ульяна Максимовна Горшкова,0815 916770,4542768902397187,068С,Симферополь,Москва,1-10,19500.0 руб,2025-04-29T19:50:00+03:00,2025-05-01T04:20:00+03:00
10,Прокл Ерофеевич Гордеев,3494 100223,2242767712935973,092С,Симферополь,Москва,1-1,23118.8 руб,2025-04-29T23:10:00+03:00,2025-05-01T08:23:00+03:00
11,Лука Данилович Васильев,3671 306861,4542761143666063,098С,Симферополь,Москва,1-1,25763.6 руб,2025-04-30T01:25:00+03:00,2025-05-01T14:26:00+03:00
12,Осипов Исидор Димитриевич,9285 301199,5242768809873977,098С,Симферополь,Москва,1-48,12437.6 руб,2025-04-29T01:25:00+03:00,2025-04-30T14:26:00+03:00
13,Лапина Фаина Яковлевна,8993 598535,4542767613601370,018Й,Симферополь,Москва,2-10,11988.0 руб,2025-04-29T10:40:00+03:00,2025-04-30T23:40:00+03:00
14,тов. Чернова Полина Тимуровна,7964 280062,5242760177147566,028С,Симферополь,Москва,1-22,13320.0 руб,2025-04-29T17:10:00+03:00,2025-04-30T20:55:00+03:00
15,Октябрина Игоревна Наумова,2931 954996,4542765183018881,068С,Симферополь,Москва,1-10,19500.0 руб,2025-04-29T19:50:00+03:00,2025-05-01T04:20:00+03:00
16,Ермил Валерьевич Жданов,7785 085366,4542762165332372,092С,Симферополь,Москва,1-1,23118.8 руб,2025-04-29T23:10:00+03:00,2025-05-01T08:23:00+03:00
17,Парамон Игнатьевич Кошелев,6736 751106,5252046380531663,098С,Симферополь,Москва,1-1,25763.6 руб,2025-04-30T01:25:00+03:00,2025-05-01T14:26:00+03:00
18,Феофан Матвеевич Лихачев,3993 659002,4540423775212546,098С,Симферополь,Москва,1-48,12437.6 руб,2025-04-29T01:25:00+03:00,2025-04-30T14:26:00+03:00
19,Третьяков Творимир Харлампович,0729 464522,5240424545217384,018Й,Симферополь,Москва,2-10,11988.0 руб,2025-04-29T10:40:00+03:00,2025-04-30T23:40:00+03:00
